station_canton,year,HDD_mean,CDD_mean,n_stations
NE,2005,3967.96,1.5200000000000002,5
NE,2006,3727.2,3.939999999999999,5
NE,2007,3594.5199999999995,0.0,5
NE,2008,3761.6,0.33999999999999986,5
NE,2009,3717.6,0.9,5
NE,2010,4068.34,1.4600000000000009,5
NE,2011,3431.0800000000004,1.1599999999999995,5
NE,2012,3624.1800000000003,1.1600000000000001,5
NE,2013,3857.7599999999998,3.7399999999999993,5
NE,2014,3366.9800000000005,0.0,5
NE,2015,3519.94,15.939999999999998,5
NE,2016,3679.3599999999997,1.620000000000001,5
NE,2017,3674.88,5.38,5
NE,2018,3324.06,5.779999999999999,5
NE,2019,3528.06,12.319999999999999,5
NE,2020,3341.0,2.839999999999998,5
NE,2021,3791.56,0.16000000000000014,5
NE,2022,3187.6400000000003,10.82,5
NE,2023,3242.42,9.260000000000002,5
NE,2024,3306.04,1.9600000000000002,5
OW,2000,5802.266666666666,0.0,3
OW,2001,5828.166666666667,46.26666666666667,3
OW,2002,5715.433333333333,9.566666666666666,3
OW,2003,5740.666666666667,0.0,3
OW,2004,6043.566666666667,0.0,3
OW,2005,6298.566666666667,0.0,3
OW,2006,5652.2,0.0,3
OW,2007,5831.7,0.0,3
OW,2008,6001.599999999999,0.0,3
OW,2009,5961.066666666667,0.0,3
OW,2010,5104.475,0.0,4
OW,2011,4977.6,0.0,4
OW,2012,4413.375,0.0,4
OW,2013,4730.2,0.35000000000000053,4
OW,2014,5010.3,0.0,4
OW,2015,5002.25,2.5749999999999993,4
OW,2016,5187.15,0.0,4
OW,2017,5202.75,1.0249999999999995,4
OW,2018,4853.575,0.4750000000000005,4
OW,2019,4976.975,2.775,4
OW,2020,4918.55,0.0,4
OW,2021,5194.15,0.0,4
OW,2022,4763.025,0.9249999999999998,4
OW,2023,4775.725,0.7000000000000002,4
OW,2024,4798.65,0.0,4
SG,2000,3033.125,2.375,4
SG,2001,3269.375,2.075,4
SG,2002,3092.275,3.7250000000000023,4
SG,2003,3314.9,18.650000000000002,4
SG,2004,3414.475,0.02500000000000035,4
SG,2005,3525.35,3.275000000000001,4
SG,2006,3330.8,5.475,4
SG,2007,3129.375,3.7249999999999996,4
SG,2008,3274.7,1.5999999999999988,4
SG,2009,3223.45,1.875000000000001,4
SG,2010,3598.375,5.075000000000002,4
SG,2011,3114.225,5.199999999999998,4
SG,2012,3248.75,3.375000000000001,4
SG,2013,3486.8,9.05,4
SG,2014,2904.7,1.4249999999999998,4
SG,2015,2793.7799999999997,18.84,5
SG,2016,3174.12,0.4000000000000007,5
SG,2017,3233.54,6.940000000000002,5
